순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,박재규,한화,0.00,1,0,0,0,0,-,1/3,1,0,0,0,0,0,0,3.00,0,0,0,0,2,10,0.500,0,0,0,0,0,0,0
1,이교훈,한화,0.00,1,0,0,0,0,-,1/3,1,0,1,0,1,2,0,6.00,0,0,0,0,3,11,0.500,0,0,0,0,0,0,0
1,이민우,한화,0.00,3,0,0,0,0,-,2,0,0,1,1,0,0,0,0.50,0,0,0,0,9,38,0.000,0,0,0,1,0,0,0
4,조동욱,한화,1.42,9,0,0,0,3,-,6 1/3,3,0,3,0,6,1,1,0.95,0,0,0,0,24,80,0.143,0,0,0,0,0,1,0
5,왕옌청,한화,1.59,4,2,1,0,0,0.667,22 2/3,21,0,6,2,20,10,4,1.19,0,0,2,0,95,360,0.241,4,0,0,0,0,1,0
6,류현진,한화,2.45,2,1,0,0,0,1.000,11,7,2,2,0,14,4,3,0.82,0,0,1,0,41,175,0.179,3,0,0,0,0,0,0
7,김종수,한화,2.57,8,0,0,0,2,-,7,4,1,2,1,8,2,2,0.86,0,0,0,0,27,106,0.167,0,1,0,0,0,0,0
8,황준서,한화,3.38,4,0,1,0,0,0.000,8,7,0,4,0,11,3,3,1.38,0,0,0,0,36,155,0.241,1,0,2,1,0,0,0
9,화이트,한화,3.86,1,0,1,0,0,0.000,2 1/3,4,0,1,0,2,1,1,2.14,0,0,0,0,13,57,0.333,1,0,0,0,0,1,0
10,강건우,한화,4.50,5,0,0,0,0,-,8,14,1,6,1,6,5,4,2.50,0,0,0,0,46,154,0.359,0,0,0,0,0,0,0
10,문동주,한화,4.50,3,1,1,0,0,0.500,14,18,2,8,1,13,7,7,1.86,0,0,0,0,67,264,0.310,4,1,0,0,0,0,0
12,이상규,한화,6.23,4,0,0,0,0,-,4 1/3,5,0,4,0,5,6,3,2.08,0,0,0,0,24,82,0.278,0,0,2,0,0,0,0
