순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
15,윤도현,KIA,0.167,5,19,18,1,3,0,0,0,3,0,0,0,1,0,0,7,1,0.167,0.211,0.378,0,0.000,0.000
16,오선우,KIA,0.111,6,20,18,1,2,0,0,1,5,1,0,0,2,0,0,8,0,0.278,0.200,0.478,0,0.000,0.000
17,이창진,KIA,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0,0.000,0.000
17,정현창,KIA,0.000,12,6,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
1,허경민,KT,0.522,7,26,23,7,12,2,0,1,17,4,1,0,1,0,1,2,0,0.739,0.560,1.299,3,0.400,0.000
2,장준원,KT,0.500,1,3,2,1,1,0,0,1,4,1,1,0,0,0,0,0,0,2.000,0.500,2.500,0,0.000,0.000
3,이정훈,KT,0.455,8,14,11,2,5,0,0,0,5,2,0,0,3,0,0,0,0,0.455,0.571,1.026,1,0.400,0.500
4,권동진,KT,0.400,10,7,5,6,2,0,1,0,4,3,0,0,2,0,0,1,0,0.800,0.571,1.371,0,1.000,0.000
5,안현민,KT,0.365,14,67,52,14,19,4,1,3,34,11,0,0,12,0,3,16,1,0.654,0.507,1.161,6,0.400,0.000
6,오윤석,KT,0.343,13,40,35,7,12,4,0,0,16,7,1,0,4,0,0,7,1,0.457,0.410,0.867,3,0.462,0.000
7,김현수,KT,0.300,16,77,70,10,21,6,0,2,33,16,0,0,7,0,0,9,3,0.471,0.364,0.835,7,0.364,0.000
8,최원준,KT,0.292,15,77,65,11,19,4,1,0,25,8,0,1,11,0,0,12,0,0.385,0.390,0.775,4,0.200,0.000
9,장성우,KT,0.286,16,67,56,11,16,4,0,5,35,18,0,1,10,1,0,17,2,0.625,0.388,1.013,5,0.300,0.500
10,류현인,KT,0.282,15,41,39,7,11,2,0,0,13,4,0,0,1,0,1,5,0,0.333,0.317,0.650,4,0.200,0.000
11,김상수,KT,0.245,14,57,49,4,12,2,0,0,14,2,0,0,7,0,1,5,3,0.286,0.351,0.637,2,0.200,0.000
12,이강민,KT,0.235,16,55,51,5,12,1,0,0,13,6,1,0,2,0,1,10,1,0.255,0.278,0.533,3,0.385,0.000
13,힐리어드,KT,0.194,16,75,62,12,12,1,1,3,24,11,0,3,10,0,0,22,1,0.387,0.293,0.680,3,0.211,0.000
14,배정대,KT,0.188,9,19,16,2,3,2,0,0,5,4,1,0,2,0,0,6,0,0.313,0.278,0.591,1,0.250,0.333
15,한승택,KT,0.182,12,40,33,4,6,1,0,0,7,4,0,0,6,0,1,12,1,0.212,0.325,0.537,1,0.250,0.000
16,강민성,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
16,강현우,KT,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
16,김민석,KT,0.000,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.000,0.000
16,김민수,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
16,박영현,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
